title,price,image
"BASIC CHARCOAL HOODIE","880 EGP","https://shopmfns.com/cdn/shop/files/D5317.png?v=1706816895&width=533"
"BASIC CHARCOAL SWEATPANTS","850 EGP","https://shopmfns.com/cdn/shop/files/D5317_f8051000-19d8-4aa1-86d2-682f11f77aa7.png?v=1706817030&width=533"
"BASIC BLUE JEANS HOODIE","880 EGP","https://shopmfns.com/cdn/shop/files/D4286_310c3203-a6d3-4a93-8291-38cb3bef49f9.png?v=1706816253&width=533"
"STITCHED CHARCOAL HOODIE","880 EGP","https://shopmfns.com/cdn/shop/files/D2072.png?v=1706819447&width=533"
"BASIC BLUE JEANS SWEATPANTS","850 EGP","https://shopmfns.com/cdn/shop/files/D4286.png?v=1706816176&width=533"
"STITCHED CHARCOAL SWEATPANTS","850 EGP","https://shopmfns.com/cdn/shop/files/D2072_096cf985-1b83-4fa2-b935-b423d6d35925.png?v=1706819564&width=533"
"FULL-LENGTH TANK TOP - SAGE","350 EGP","https://shopmfns.com/cdn/shop/files/211A8727Large.jpg?v=1694061766&width=533"
"FULL-LENGTH TANK TOP - WHITE","350 EGP","https://shopmfns.com/cdn/shop/files/211A8721Large.jpg?v=1694105402&width=533"
"FULL-LENGTH TANK TOP - LILAC","350 EGP","https://shopmfns.com/cdn/shop/files/211A86972Large.jpg?v=1694105320&width=533"
"FULL-LENGTH TANK TOP - GREIGE","350 EGP","https://shopmfns.com/cdn/shop/files/211A87172Large.jpg?v=1694061929&width=533"
"FULL-LENGTH TANK TOP - BARBIE PINK","350 EGP","https://shopmfns.com/cdn/shop/files/211A87132Large.jpg?v=1694062153&width=533"
"FULL-LENGTH TANK TOP - IRON GRAY","350 EGP","https://shopmfns.com/cdn/shop/files/211A8703Large.jpg?v=1694063693&width=533"
